caseid,BLOCK0QID11_W1,BLOCK0QID12_W1,BLOCK0QID13_W1,BLOCK0QID14_W1,BLOCK0QID15_W1,BLOCK0QID18_W1,BLOCK0QID20_W1,BLOCK0QID21_W1,BLOCK0QID22_W1,BLOCK30QID9_1_W1,BLOCK30QID9_2_W1,BLOCK30QID9_3_W1,BLOCK30QID9_4_W1,BLOCK30QID9_5_W1,BLOCK30QID9_6_W1,BLOCK30QID9_7_W1,BLOCK30QID9_8_W1,BLOCK30QID9_9_W1,BLOCK30QID9_10_W1,BLOCK30QID9_11_W1,BLOCK30QID9_12_W1,BLOCK30QID9_13_W1,BLOCK30QID9_14_W1,BLOCK30QID9_15_W1,BLOCK30QID9_16_W1,BLOCK30QID9_17_W1,BLOCK30QID9_18_W1,BLOCK30QID9_19_W1,BLOCK30QID9_20_W1,BLOCK30QID9_21_W1,BLOCK30QID9_22_W1,BLOCK30QID9_23_W1,BLOCK30QID9_24_W1,BLOCK30QID9_25_W1,BLOCK30QID9_26_W1,BLOCK30QID9_27_W1,BLOCK30QID9_28_W1,BLOCK30QID9_29_W1,BLOCK30QID9_30_W1,BLOCK30QID9_31_W1,BLOCK30QID9_32_W1,BLOCK30QID9_33_W1,BLOCK30QID9_34_W1,BLOCK30QID9_35_W1,BLOCK30QID9_36_W1,BLOCK30QID9_37_W1,BLOCK30QID9_38_W1,BLOCK30QID9_39_W1,BLOCK30QID9_40_W1
10001051,D,B,D,F,A,B,B,C,D,B,B,B,A,A,A,B,B,B,B,B,A,A,A,A,B,B,A,B,A,B,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,A,B,B
10001052,D,A,C,C,A,A,C,B,C,A,B,B,A,A,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,B,A,B,A,B,B,A,A,B,B,A,B,B,B,B,B,A,A,B,B
10001053,B,B,B,D,A,K,C,B,E,B,A,B,A,B,A,B,B,A,B,B,B,A,B,B,A,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,B,B,B,A,A,A,A
10001054,C,B,B,E,A,J,B,C,D,B,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,B,B,A,A,A,B,B,B,A,A,B,B,B,B
10001055,A,B,D,C,E,K,A,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,B,B,B,B,A,B,B,B,B,B,A,A,A,B,B,B,B,A,A,B,A,B
10001056,A,B,C,C,A,A,B,E,E,B,B,B,B,A,B,B,A,B,B,B,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B
10001057,A,A,C,D,C,I,C,E,D,B,B,A,B,A,B,A,A,A,B,B,B,B,B,A,A,B,A,A,B,A,A,B,A,B,A,A,A,B,B,A,A,B,A,B,B,B,B,B,A
10001058,B,A,D,F,A,B,B,C,B,B,B,B,A,B,B,A,B,B,B,A,B,B,A,B,A,A,A,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,A
10001059,C,A,B,F,A,I,B,B,E,A,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,A,B,B,A,B,B,A,B,B,B,B,A,B,B,B
10001060,A,B,A,E,A,L,B,B,D,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,A,B,B,A,A,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B
10001061,B,A,C,F,B,L,C,E,E,B,B,B,A,A,B,A,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
10001062,B,B,D,B,B,K,C,B,C,A,A,A,A,A,B,A,A,B,B,A,B,A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,B,A,B,B,B,A,B,A,A,B,B,A,B
10001063,C,A,B,F,A,J,C,E,D,B,B,B,B,A,B,B,A,A,B,A,A,A,A,B,B,B,B,A,A,B,B,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,A,B
10001064,D,B,B,E,A,L,C,C,C,B,B,B,B,A,A,A,B,A,B,A,B,B,B,A,B,B,A,B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,B,A,A,B
10001065,C,B,C,B,A,A,A,B,A,B,A,B,A,A,A,B,A,A,A,B,A,A,B,B,A,B,A,B,B,A,A,A,B,A,B,A,B,B,A,A,B,B,B,A,B,A,B,A,A
10001066,D,A,B,B,A,L,A,A,B,A,A,B,A,B,B,A,B,A,A,B,B,B,B,B,B,B,A,A,A,A,B,B,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B
10001067,C,B,C,C,A,J,C,C,C,A,A,A,B,B,B,A,A,B,B,A,A,B,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,B,B,A,A,A,B,B,A,A,B,A,A
10001068,C,B,B,C,A,A,C,B,B,A,B,B,B,A,B,B,B,B,B,A,A,B,B,A,A,B,A,A,A,B,B,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,A,A
10001069,A,A,B,B,A,B,C,A,D,B,A,B,A,A,A,B,B,A,A,B,B,B,A,A,A,B,A,B,A,B,B,A,B,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,B
10001070,B,B,C,C,A,B,B,B,C,A,B,A,B,B,B,A,A,B,B,A,A,B,B,B,B,B,A,A,B,B,A,B,A,B,B,B,B,A,B,B,A,A,B,B,A,A,B,B,A
10001071,C,B,C,D,A,A,A,E,B,A,A,A,B,A,B,B,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,B,B,B,B,A,B,B,B
10001072,C,B,D,F,A,A,A,B,B,B,A,B,B,B,A,B,A,A,B,B,B,A,B,B,B,A,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,B,A,B,A,B,B
10001073,C,A,A,A,D,L,C,B,C,A,A,B,B,B,A,A,B,B,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,B,B,A,A,A
10001074,D,A,B,C,A,L,C,C,C,B,B,A,A,B,B,A,B,A,B,B,A,B,A,B,A,B,B,A,B,A,B,B,A,A,B,B,B,B,A,B,A,B,B,A,A,A,B,B,B
10001075,D,A,D,F,A,I,B,B,E,B,A,A,B,B,B,A,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,A,B
10001076,D,A,B,E,B,A,B,D,D,B,A,B,A,B,A,A,A,A,A,B,A,B,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B,A,B,A,B,A,B,B,A,B,B,A
10001077,D,A,D,C,A,I,A,B,B,B,B,B,A,A,B,B,A,A,A,A,B,A,B,B,B,A,A,B,B,A,A,B,B,B,B,A,B,B,A,A,B,A,B,A,B,B,A,B,A
10001078,C,A,C,E,A,A,C,A,B,B,A,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,A,B,A,B,B,B,B,A,B,B,B,B,A,B,A,B,A,B,B,B,B,B,B
10001079,A,B,A,E,B,A,B,C,E,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,B,B,B,A,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A
10001080,C,B,B,E,A,C,A,E,B,A,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,B
10001081,B,B,B,E,A,J,C,C,D,A,B,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,B,B
10001082,D,A,C,E,A,B,C,C,C,A,A,B,A,B,B,A,B,A,A,A,A,B,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,A,B,B,A
10001083,B,B,A,C,B,L,C,B,E,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,A,B,B,A,B,B,B,B,A,B,A,B,B,B,A,A,B,B
10001084,C,A,A,E,A,A,B,C,D,A,B,A,B,A,A,B,A,A,A,A,B,A,B,B,A,A,B,B,B,A,B,B,B,B,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A
10001085,D,A,B,C,A,K,C,B,E,B,B,B,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,A,A,A,B,B,A,B,A,B,B,B,A,B,B,A,B,A,B,B,B,B,A
10001086,C,A,C,C,A,I,C,D,C,B,B,B,B,A,B,B,B,B,A,B,A,B,B,B,A,B,A,B,B,B,A,A,B,A,A,B,A,A,A,B,B,B,A,B,A,A,B,B,B
10001087,C,A,B,E,A,J,C,E,D,B,B,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,A,B,B,A,B
10001088,B,A,A,E,A,I,B,B,D,B,A,B,A,A,A,B,B,B,A,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B
10001089,A,B,C,B,A,B,A,A,C,B,B,A,A,B,A,B,A,A,B,B,A,B,A,A,B,A,B,A,A,B,A,B,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A
10001090,C,B,B,E,A,B,B,C,C,A,B,A,B,B,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,A,A,B,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A
10001091,B,A,A,C,D,L,B,B,B,B,A,B,B,B,A,A,B,B,A,A,A,B,B,B,B,A,A,A,B,A,A,A,B,A,A,B,B,B,A,A,B,B,B,B,A,A,B,A,B
10001092,D,B,C,D,A,K,A,A,B,B,A,B,B,B,A,B,B,A,B,B,B,A,A,B,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,A,B,A,B,A,B,A,A,B
10001093,C,A,C,C,A,K,B,E,D,B,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B,A,A,B,B,B,B,A,B,B,A,B,A,B,B,B,A,B,B,B,B,B,B,B,B
10001094,B,A,A,C,A,J,C,E,C,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B
10001095,C,A,B,E,A,A,B,E,D,B,A,B,A,A,B,A,B,B,B,B,A,A,B,B,A,B,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B,A,B,B,A,B,B,B,B
10001096,A,A,B,E,A,L,C,D,D,A,B,B,B,B,A,B,B,A,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,A,B,B,B,A,B,A,A,A,B,A,B,A,B,B,B
10001097,C,B,C,E,A,K,C,B,E,A,B,B,B,A,B,A,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,B,A,B
10001098,A,A,B,E,C,J,A,E,C,B,B,B,B,B,B,A,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A
10001099,A,B,C,F,A,I,B,E,D,A,B,A,B,A,A,B,B,A,A,A,B,A,B,B,A,B,B,B,B,B,A,B,B,B,A,A,B,B,A,B,B,B,A,B,B,B,B,A,B
10001100,D,B,B,C,A,J,C,A,E,A,B,B,A,B,A,A,A,B,A,B,A,A,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,B,A,A,A,B,A,B,A,A,A,B,B
10001101,D,A,A,C,A,J,C,B,C,B,B,A,B,A,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A,B
10001102,B,A,B,B,A,A,A,A,B,A,B,B,B,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,A,B,A,A,A,B,B,B,B,A,A
10001103,B,B,C,B,A,J,C,A,C,B,A,B,B,A,A,B,A,B,A,B,B,A,B,A,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,A,B,B,B
10001104,D,B,D,E,A,A,C,B,B,B,B,B,A,B,B,A,B,A,A,B,A,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,B,B,A,B
10001105,A,B,A,C,A,L,A,E,C,B,B,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,B,A,B,B,B,B,A,A,B,A,A,A,B,A,B,B,B,A,B,A,A,A
10001106,A,B,C,D,A,L,B,B,E,B,B,A,B,B,B,B,A,B,B,B,B,A,A,B,B,A,B,B,B,A,B,A,B,A,A,A,B,A,B,A,B,B,A,B,B,B,B,A,B
10001107,C,A,A,E,B,F,C,E,C,B,A,A,B,B,A,B,B,A,B,B,B,A,A,A,B,B,A,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,A,B,A,A
10001108,D,B,C,C,A,A,A,D,A,A,A,B,B,B,A,B,A,B,A,B,B,A,B,B,A,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,B,B,A,B,B,B,A,B,B
10001109,A,A,C,D,A,J,C,A,C,A,A,A,B,B,A,B,A,B,B,B,A,A,B,B,B,A,B,B,B,B,A,B,A,A,B,B,A,B,A,B,A,B,A,A,A,B,B,B,A
10001110,C,B,B,B,A,A,A,D,B,A,B,B,A,B,A,A,A,A,A,B,A,B,A,B,A,A,B,A,B,A,B,A,A,A,B,A,A,B,A,B,B,A,A,B,A,B,B,A,B
10001111,D,B,D,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A
10001112,A,B,B,F,A,J,B,E,D,B,B,B,A,B,B,A,B,B,A,A,A,A,B,A,B,A,B,A,B,B,B,B,B,B,B,A,B,B,B,B,A,A,A,B,A,B,A,B,A
10001113,D,A,B,E,E,J,B,E,E,A,A,A,B,B,B,A,A,B,A,B,B,A,B,B,B,B,A,A,B,A,B,B,A,B,A,A,B,B,B,B,B,A,B,A,B,B,B,A,B
10001114,D,B,C,E,A,B,C,C,C,B,B,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B
10001115,C,B,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,B,A,B,A,A,B,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,B,A,A,B,B,B
10001116,C,A,B,B,B,A,C,B,D,A,B,B,A,B,B,A,B,A,B,A,B,A,B,B,B,A,B,A,B,A,A,A,B,A,A,A,B,A,A,A,B,B,A,A,B,B,B,A,A
10001117,C,B,A,E,A,I,C,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,A,B,B,A,B,A,A,B,A,B,A,B,B,B,A
10001118,C,A,A,E,D,A,C,C,C,A,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,A,B,B,A,A,B,A,A,B,A,B,B,A,A,A,B,B,A,A,B,A,A,B,A
10001119,C,B,A,C,B,L,C,A,C,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,A,A,B,A,A,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B
10001120,A,A,A,C,B,B,A,E,C,A,B,B,B,B,A,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,B,B,B,A,A,A,B,A,B,B,A
10001121,A,A,C,E,A,E,C,A,C,B,B,A,B,A,A,A,A,B,B,B,B,A,B,A,A,A,B,A,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B,A,B,B,B,A,B
10001122,A,B,C,E,A,J,B,C,D,A,B,A,A,B,B,B,A,B,B,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,A,B,B,B
10001123,D,A,B,E,C,B,B,E,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,B,A,A,B,B,B,B,B,A,A,B,B,B
10001124,C,A,C,A,A,J,C,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,B,B,A,B,B,B,B,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,A,B
10001125,C,B,C,E,A,B,D,D,C,B,B,A,A,A,B,B,A,B,A,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A
10001126,D,A,C,D,A,I,A,E,B,A,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,B,B,A,B,B,A,A,A,B,B,B,B,A,B,A,B,B,B,B,B,B,A
10001127,A,B,C,B,E,F,B,B,C,A,A,A,A,B,B,A,A,B,A,A,A,A,A,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,A,A,A
10001128,C,B,A,E,B,A,B,D,E,A,B,B,A,B,B,A,A,A,B,B,B,A,B,B,B,B,A,B,A,B,A,A,B,B,A,B,B,A,B,B,B,A,A,A,A,B,B,A,B
10001129,A,B,C,F,A,A,A,E,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,A,A,B,A,B,B
10001130,D,A,B,C,A,A,A,B,A,A,A,B,B,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,A,B,B,A,A,B,A,B
10001131,B,A,C,F,A,A,C,B,D,B,A,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B
10001132,C,A,C,C,B,A,B,E,C,A,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,B,A,A,B,B,A,B,B,A,B,A,B,B,A,A,A,A,B,A
10001133,C,B,B,E,D,B,C,D,C,B,B,A,A,A,A,B,A,A,A,B,B,B,A,A,A,B,B,B,B,A,B,A,A,B,B,B,B,B,A,A,A,B,B,A,B,B,B,A,B
10001134,A,A,B,E,A,A,B,B,D,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,B,B,A
10001135,C,B,C,B,A,K,C,C,A,B,B,B,A,B,A,A,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,A,B,B,B,A,A
10001136,B,B,C,E,A,A,A,E,B,B,B,A,B,B,A,A,B,A,B,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,A,B,B
10001137,D,B,A,C,D,L,B,B,D,B,B,A,A,A,A,A,B,A,A,B,B,B,B,B,A,A,A,B,B,B,B,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A
10001138,C,A,C,B,A,A,A,C,B,B,A,B,B,B,B,B,A,B,B,B,A,B,B,B,B,A,A,A,B,B,A,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A
10001139,C,B,B,D,B,K,B,A,C,A,B,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,B,A,B,B,B,A,B,A,B,A,A,B,A,B,B,A,A,B,A,B,A,B
10001140,C,A,C,C,A,B,A,C,A,A,A,B,A,A,A,B,A,A,A,A,B,B,A,A,B,A,A,B,B,A,A,B,A,A,A,B,A,B,A,A,B,A,A,B,A,B,A,A,B
10001141,D,A,C,C,A,I,A,C,B,A,B,B,A,B,B,B,B,B,B,B,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B
10001142,D,B,B,E,A,J,C,B,D,A,B,B,A,B,B,B,A,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,B,B,A,B,B,A,B
10001143,A,A,D,E,A,A,C,A,C,B,A,B,A,A,A,B,A,A,B,A,B,A,B,A,B,A,A,B,A,B,B,B,A,A,A,A,B,B,B,B,A,A,B,A,A,B,B,B,A
10001144,D,A,A,B,A,I,C,A,C,A,A,A,A,A,B,A,B,A,A,B,A,B,A,A,B,B,A,B,A,B,A,B,A,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
10001145,C,A,C,F,A,A,A,E,A,B,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,A,B,B
10001146,C,B,B,E,A,J,C,A,C,A,B,B,B,B,B,B,A,A,A,B,A,B,B,B,B,A,A,A,B,B,A,A,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B
10001147,A,A,B,C,A,J,A,B,C,A,B,A,A,B,A,A,B,A,A,B,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,B,A,B,B
10001148,D,A,B,B,A,L,B,D,D,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A,A,B,A,B,A,A,B,A,A
10001149,B,B,A,E,A,J,C,D,E,B,B,B,A,B,A,A,B,A,B,B,B,A,B,B,A,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B
10001150,C,B,B,B,A,L,A,B,E,B,A,A,B,A,B,B,A,A,B,A,B,A,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,A,B,B,B,B,B,A,A,A
10001151,A,A,C,D,A,B,A,D,B,A,B,A,A,A,B,A,A,A,B,B,A,B,B,B,A,B,B,B,A,A,B,A,A,A,A,B,B,A,A,B,A,B,B,B,A,B,B,A,B
10001152,C,B,D,E,D,B,B,C,D,A,B,A,A,B,B,B,A,A,B,B,B,A,A,A,B,A,B,B,A,B,A,B,A,B,B,A,B,A,A,B,A,A,B,B,A,A,B,B,B
10001153,B,B,C,E,A,I,B,C,E,B,B,A,B,A,A,B,B,A,A,B,B,B,A,B,A,A,A,B,B,B,A,B,B,A,A,B,B,A,A,B,A,B,A,B,B,A,A,B,A
10001154,C,B,C,D,A,A,A,C,B,A,B,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B
10001155,A,B,C,E,A,J,A,E,B,B,A,B,A,B,A,A,B,B,B,A,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,B,B,B,A,B,A,A,A,B,B,B,B,B,B
10001156,C,A,A,E,D,B,B,C,D,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,B,A,B,B,B,A,A,B,B,B,B,B,A,B,B,A,A,B,B,A,B,A,B
10001157,C,B,B,E,D,K,C,B,D,A,B,A,B,A,B,A,B,A,B,A,B,B,B,A,B,A,B,B,A,B,A,A,B,A,A,A,B,B,A,A,B,B,B,B,B,B,B,A,B
10001158,C,B,A,E,D,B,C,E,E,A,A,B,A,A,B,A,B,B,B,A,B,A,A,A,B,A,B,B,A,B,B,B,A,B,A,B,B,A,A,A,A,B,B,A,A,B,A,B,B
10001159,C,B,B,C,A,A,C,A,C,B,B,A,A,B,A,B,B,A,A,B,B,B,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,B,A,B
10001160,A,B,B,E,B,J,B,D,D,A,B,B,A,A,B,B,A,B,B,B,A,B,A,A,B,B,A,A,A,B,A,B,B,B,A,B,B,B,A,A,A,B,B,B,B,B,B,B,B
10001161,C,A,B,E,B,A,C,C,C,B,A,A,B,B,A,B,B,A,B,A,A,B,B,A,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A,B,B
10001162,B,A,A,C,D,L,D,D,C,A,A,A,B,B,B,A,B,A,B,B,B,A,B,A,A,A,B,A,A,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,B,B,A,A,A
10001163,D,B,B,F,E,J,B,E,E,A,A,B,A,A,A,B,B,A,A,A,B,A,B,B,A,A,A,B,B,A,A,B,A,B,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B
10001164,D,B,D,F,A,A,B,D,D,B,B,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,A,A,B
10001165,D,A,B,C,E,I,B,B,E,B,A,B,A,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B,B,A,B,B,A,A,A,B,A,B,A,B,B,A,B,A,B,B,B
10001166,C,B,D,C,A,J,C,C,E,B,B,B,B,B,A,A,A,B,B,B,A,A,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,A
10001167,C,B,D,C,A,A,A,A,B,B,A,B,A,B,A,B,A,A,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,B,B,A,B
10001168,D,B,A,E,C,B,B,A,E,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
10001169,D,A,C,C,C,L,D,A,E,A,A,B,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,A,A
10001170,D,B,A,B,B,L,C,D,C,B,A,A,A,A,A,B,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,A,B,A,B,B,A,A,B,B,A,B,A,B,B,A,B,B,B
10001171,A,A,C,B,A,L,C,A,C,A,A,B,A,B,B,A,B,B,B,B,B,B,A,A,B,B,B,A,B,B,B,B,B,A,B,A,B,B,B,B,A,B,A,A,A,B,B,B,A
10001172,C,B,A,C,E,A,C,A,C,A,B,A,A,A,A,B,A,B,B,B,B,B,A,A,B,B,B,B,A,A,A,B,B,B,A,A,B,B,A,A,B,B,B,B,A,A,A,A,A
10001173,C,A,C,C,A,A,A,C,A,B,A,A,A,B,A,A,A,B,B,B,A,A,B,B,B,A,B,A,A,B,B,B,A,A,B,A,A,B,B,A,A,B,A,A,B,B,A,B,A
10001174,C,A,B,E,A,B,C,A,C,B,A,B,A,A,A,A,B,A,B,A,A,B,A,B,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,B,B
10001175,A,A,C,E,A,B,B,E,C,A,B,B,B,B,A,B,A,B,B,B,A,A,B,B,A,B,B,B,B,A,B,B,A,B,A,A,B,B,B,A,B,B,A,A,B,B,A,B,B
10001176,A,A,A,F,A,I,B,B,E,B,A,B,A,A,A,B,B,B,B,A,B,A,B,B,A,B,B,A,B,B,B,A,B,B,B,A,A,A,A,B,B,A,B,B,B,B,B,B,B
10001177,C,B,C,C,A,A,A,C,B,A,B,B,A,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,A,B,B,A,B,A,B,A,B,B,A,B,A,A
10001178,B,B,B,C,B,K,B,C,B,B,A,B,A,A,A,B,B,A,B,A,B,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
10001179,B,B,B,B,D,K,D,B,C,A,B,B,B,A,B,B,B,B,B,A,A,B,B,B,B,B,B,B,A,B,B,A,A,A,B,B,A,B,B,A,B,B,B,A,B,B,B,A,B
10001180,C,B,B,B,B,B,B,B,C,A,B,B,A,A,B,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,A,B,B,B,B,A,A,A,A,B,B,A,A,A,A,A,A,B,A
